Date,Time,SO2,NO,NO2,NOX,CO,CO8hr,O3,O3 8hr,PM2.5,PM10,Wind Speed,Wind Dir,Temperature,RH,Solar Rad,BP,Rain,V Wind Speed
,,ppb,ppb,ppb,ppb,ppm,,ppb,,ug/m3,ug/m3,m/s,Deg,Cø,%,w/m2,mb,mm,m/s
11/1/2012,1:00,5.05,28.12,0.03,22.12,0.88,,0.18,,68.32,84.27,0.31,183.5,,,5.42,1011.7,0.01,0.04
11/1/2012,2:00,6.23,32.7,0.04,26.84,0.86,,0.21,,79.02,100.74,0.44,160.09,,,5.43,1011.33,0.01,0.03
11/1/2012,3:00,6.3,37.5,,31.43,0.83,,0.19,,110.64,133.44,0.4,164.86,,,5.43,1011.05,0.01,0.04
11/1/2012,4:00,6.32,43.44,0.04,37.55,0.81,,0.23,,97.79,125.52,0.52,112.45,,,5.36,1011.04,0.01,0.04
11/1/2012,5:00,6,43.33,0.03,36.56,0.79,,0.12,,120.86,142.32,0.63,93.18,,,5.19,1011.24,0.01,0.04
11/1/2012,6:00,5.95,36.75,0.03,29.65,0.8,,0.84,,103.89,114.84,0.46,176.4,,,5.69,1011.88,0.01,0.04
11/1/2012,7:00,5.88,34.92,0.03,27.68,0.88,,0.4,,,,0.41,162.49,,,33.55,1012.66,0.01,0.04
11/1/2012,8:00,6.38,44.5,,38.43,0.99,0.855,0.3,0.30875,172.01,232,0.88,144.39,,,157.16,1013.37,0.01,0.02
11/1/2012,9:00,6.62,50.57,0.04,46.65,0.99,0.86875,0.13,0.3025,111,216.88,0.97,191.56,,,369.28,1013.85,0.01,0.03
11/1/2012,10:00,6.45,41.51,0.07,37.33,0.94,0.87875,0.12,0.29125,109.21,169.57,1,207.11,,,510.03,1014.06,0.01,0.04
11/1/2012,11:00,5.72,24.22,1.06,23.29,0.75,0.86875,0.44,0.3225,53.28,122.35,0.88,213.5,,,531.39,1013.4,0.01,0.05
11/1/2012,12:00,5.01,10.67,2.75,13.21,0.46,0.825,1.99,0.5425,62,105.8,0.71,209.39,,,527.13,1012.44,0.01,0.03
11/1/2012,13:00,4.86,10.39,1.08,11.2,0.39,0.775,1.28,0.6875,62.09,124.16,0.75,220.59,,,504.78,1011.43,0.01,0.04
11/1/2012,14:00,4.72,10.41,0.04,8,0.4,0.725,1.01,0.70875,65.13,127.88,0.56,254.51,,,299.46,1010.36,0.01,0.04
11/1/2012,15:00,4.87,10.48,0.03,6.01,0.44,0.67,1.07,0.7925,69.03,124.54,0.69,202.79,,,171.88,1009.73,0.01,0.04
11/1/2012,16:00,4.95,,0.06,5.16,0.46,0.60375,2.37,1.05125,69.74,140.26,0.51,221.52,,,206.89,1009.32,,0.04
11/1/2012,17:00,4.84,,,5.15,0.45,0.53625,2.55,1.35375,60.81,117.52,0.87,69.79,,,80.36,1009.39,0.01,0.07
11/1/2012,18:00,5,10.31,0.03,4.98,0.54,0.48625,1.8,1.56375,55.47,104.81,1.03,73.78,,,9.82,1009.64,,0.09
11/1/2012,19:00,5.01,11.07,0.03,6.74,0.67,0.47625,0.48,1.56875,69.84,169.22,0.73,72.63,,,5.27,1010.18,0.01,0.07
